feature,coefficient,absolute_coefficient
serum_creatinine,0.7496704390057285,0.7496704390057285
ejection_fraction,-0.6949583142192759,0.6949583142192759
high_blood_pressure_1,0.4641062073793432,0.4641062073793432
high_blood_pressure_0,-0.46387737477154994,0.46387737477154994
creatinine_phosphokinase,0.44740505342475256,0.44740505342475256
anaemia_1,0.41218430474393836,0.41218430474393836
anaemia_0,-0.4119554721361501,0.4119554721361501
diabetes_1,0.4104467540132804,0.4104467540132804
diabetes_0,-0.4102179214054853,0.4102179214054853
age,0.40638787677815963,0.40638787677815963
smoking_1,0.1890722484865635,0.1890722484865635
smoking_0,-0.18884341587877132,0.18884341587877132
serum_sodium,-0.11702957430188674,0.11702957430188674
sex_0,0.09431087488734549,0.09431087488734549
sex_1,-0.09408204227955388,0.09408204227955388
platelets,-0.059029743022298346,0.059029743022298346
