feature,importance
serum_creatinine,0.19708587829117746
ejection_fraction,0.16832214285417404
creatinine_phosphokinase,0.1291884996013637
platelets,0.11595652341540591
serum_sodium,0.1137364436865853
age,0.10431277655207107
high_blood_pressure_0,0.023635841122570406
diabetes_1,0.018691098600705502
anaemia_1,0.018667860436526944
anaemia_0,0.018492141762698512
high_blood_pressure_1,0.01780382833278891
diabetes_0,0.017135287179781595
smoking_0,0.015637296713281564
smoking_1,0.014756580662384841
sex_0,0.013319607544643378
sex_1,0.01325819324384096
